subtype,hemisphere,year,fitness,clade
H3N2,North,2023,-1.272038493690197,3C.2a1b.2a.2b
H3N2,North,2023,-1.547513453647345,3C.2a1b.2a.1
H3N2,North,2023,-1.859617178770867,3C.2a1b.2a.1a
H3N2,North,2023,-2.128148774721445,3C.2a1b.2a.2a.3
H3N2,North,2023,-2.2864974813670402,3C.2a1b.2a.1a.1
H3N2,North,2023,-2.5695893672649897,3C.2a1b.2a.2a.3a.1
H3N2,North,2023,-2.5798674012103584,3C.2a1b.2a.2a.1b
H3N2,North,2023,-2.6199288960923255,3C.2a1b.2a.2a.1
H3N2,North,2023,-2.774191119539345,3C.2
H3N2,North,2023,-3.7113262200335173,3C.2a1b.2a.2a.3a
