subtype,hemisphere,year,fitness,clade
H3N2,South,2023,-1.288029319596541,3C.2a1b.2a.2a.3a.1
H3N2,South,2023,-1.296820805711593,3C.2a1b.2a.2a.3
H3N2,South,2023,-1.3162417498446104,3C.2a1b.2a.2a.3b
H3N2,South,2023,-1.3383560045877834,3C.2a1b.2a.2a.3a
H3N2,South,2023,-1.3779887870299685,3C.2a1b.2a.2a.1a
H3N2,South,2023,-1.449154590240064,3C.2a1b.2a.2b
H3N2,South,2023,-1.6678207199278616,3C.2a1b.2a.2a.1
H3N2,South,2023,-3.927128996576888,3C.2a1b.2a.1a
H3N2,South,2023,-3.931619951137373,3C.2a1b.2a.2a
H3N2,South,2023,-4.534571078008721,3C.2a1b.2a.2a.2
H3N2,South,2023,-5.136814690797685,3C.2a1b.1a
H3N2,South,2023,-5.273535829531744,3C.2
